controle,ano,titulo,titulo_do,bairro_fato_original,bairro
24474031-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cordovil,Cordovil
48538381-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Madureira,Madureira
04170561-2022,2022,Homicídio Provocado por Paulada,Homicídio doloso,Bangu,Bangu
21969061-2022,2022,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Itanhanga,Itanhangá
71625361-2022,2022,Homicídio (outros),Homicídio doloso,Honorio gurgel,Honório Gurgel
36453461-2022,2022,Homicídio (outros),Homicídio doloso,Anchieta,Anchieta
37492871-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
40788371-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Del castilho,Del Castilho
88760621-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Penha,Penha
09866761-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
09866761-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
09866761-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Mare,Maré
40721681-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vila isabel,Vila Isabel
48247121-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Anchieta,Anchieta
82105421-2022,2022,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Manguinhos,Manguinhos
75890301-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sao cristovao,São Cristóvão
41917471-2022,2022,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
